0, 5.0, 5.0, 5.0, 5.0
1, 8.0, 5.0, 5.0, 12.0
2, 10.0, 5.0, 12.0, 13.0
3, 9.0, 10.0, 18.0, 63.0
4, 10.0, 6.0, 81.0, 70.0
5, 13.0, 6.0, 145.0, 24.0
6, 16.0, 18.0, 151.0, 20.0
7, 15.0, 18.0, 169.0, 117.0
8, 16.0, 14.0, 286.0, 128.0
9, 25.0, 7.0, 409.0, 0.0
10, 29.0, 18.0, 391.0, 0.0
11, 28.0, 18.0, 389.0, 150.0
12, 29.0, 14.0, 539.0, 206.0
13, 37.0, 7.0, 740.0, 0.0
14, 40.0, 18.0, 722.0, 0.0
15, 38.0, 18.0, 720.0, 26.0
16, 37.0, 14.0, 746.0, 283.0
17, 45.0, 7.0, 1024.0, 50.0
18, 48.0, 18.0, 1056.0, 0.0
19, 46.0, 18.0, 1054.0, 0.0
20, 47.0, 14.0, 1054.0, 210.0
21, 57.0, 7.0, 1259.0, 130.0
22, 62.0, 18.0, 1371.0, 0.0
23, 62.0, 18.0, 1369.0, 0.0
24, 64.0, 14.0, 1369.0, 110.0
25, 74.0, 7.0, 1474.0, 209.0
26, 79.0, 18.0, 1665.0, 0.0
27, 79.0, 18.0, 1663.0, 0.0
28, 81.0, 14.0, 1663.0, 25.0
29, 91.0, 7.0, 1683.0, 287.0
30, 97.0, 18.0, 1952.0, 53.0
31, 98.0, 18.0, 2003.0, 0.0
32, 100.0, 14.0, 2003.0, 0.0
33, 110.0, 7.0, 1998.0, 208.0
34, 115.0, 18.0, 2188.0, 131.0
35, 115.0, 18.0, 2317.0, 0.0
36, 117.0, 14.0, 2317.0, 0.0
37, 127.0, 7.0, 2312.0, 101.0
38, 132.0, 18.0, 2395.0, 209.0
39, 132.0, 18.0, 2602.0, 0.0
40, 134.0, 14.0, 2602.0, 0.0
41, 144.0, 7.0, 2597.0, 25.0
42, 149.0, 18.0, 2604.0, 287.0
43, 149.0, 18.0, 2889.0, 53.0
44, 150.0, 14.0, 2942.0, 0.0
45, 159.0, 7.0, 2937.0, 0.0
46, 162.0, 18.0, 2919.0, 204.0
47, 159.0, 18.0, 3121.0, 129.0
48, 158.0, 14.0, 3250.0, 0.0
49, 163.0, 7.0, 3245.0, 0.0
50, 163.0, 18.0, 3227.0, 96.0
51, 156.0, 18.0, 3321.0, 204.0
